noc,harm.rank2006,perc.rank2006,harm.rank2016,perc.rank2016,harm.rank2021,perc.rank2021,noc_title_2016,perc.change.21.06,rank.change.21.06,perc.change.21.16,rank.change.21.16,digit.2,skill_level
2161,20.8433869592071,95.625,23.4577060072611,93.9958592132505,24.145181465425,94.1048034934498,"Mathematicians, statisticians and actuaries",0.0152019650655022,3.3017945062179,-0.00108944280199264,0.687475458163899,1,Skill level A
5225,21.7982192305709,95.4166666666667,23.8487557522643,93.5817805383023,24.3588207071949,93.8864628820961,Audio and video recording technicians,0.015302037845706,2.560601476624,-0.00304682343793793,0.510064954930602,2,Skill level B
0512,17.286385655549,96.0416666666667,25.004114738997,92.9606625258799,25.7523982922648,93.6681222707424,"Managers - publishing, motion pictures, broadcasting and performing arts",0.0237354439592431,8.4660126367158,-0.00707459744862442,0.7482835532678,5,Skill level C
2141,33.71445930818,93.5416666666667,30.2885348904481,91.9254658385093,25.8946984506208,93.4497816593887,Industrial and manufacturing engineers,0.000918850072780197,-7.8197608575592,-0.0152431582087933,-4.3938364398273,1,Skill level A
1254,49.8037818013026,89.1666666666667,24.8245989058392,93.167701863354,26.2197772062652,93.2314410480349,Statistical officers and related research support occupations,-0.0406477438136827,-23.5840045950374,-0.000637391846808971,1.395178300426,2,Skill level B
2151,34.6183193910024,93.3333333333333,55.5776831474731,88.4057971014493,27.6751283486707,93.0131004366812,Architects,0.0032023289665211,-6.9431910423317,-0.0460730333523195,-27.9025547988024,1,Skill level A
2154,43.8124804729094,91.0416666666667,27.376094704375,92.5465838509317,29.6637494242285,92.7947598253275,Land surveyors,-0.0175309315866084,-14.1487310486809,-0.00248175974395834,2.2876547198535,1,Skill level A
5231,90.7002678111879,80.625,28.6952130364297,92.1325051759835,30.2868308642497,92.5764192139738,Announcers and other broadcasters,-0.119514192139738,-60.4134369469382,-0.00443914037990362,1.59161782782,2,Skill level B
5222,67.780624748006,85.625,28.5466083229614,92.3395445134576,31.4985726453664,92.3580786026201,Film and video camera operators,-0.0673307860262009,-36.2820521026396,-0.000185340891625307,2.951964322405,2,Skill level B
2131,14.3565326985016,97.0833333333333,9.52782777766466,98.1366459627329,32.1590766206811,92.1397379912664,Civil engineers,0.0494359534206696,17.8025439221795,0.0599690797146654,22.6312488430164,1,Skill level A
2114,27.4572954940506,93.9583333333333,47.0614950198573,89.8550724637681,32.1773665066555,91.9213973799127,Meteorologists and climatologists,0.0203693595342067,4.7200710126049,-0.0206632491614455,-14.8841285132018,1,Skill level A
2232,49.9131718487096,88.9583333333333,47.0417725219986,90.0621118012422,33.9383436935593,91.7030567685589,Mechanical engineering technologists and technicians,-0.0274472343522562,-15.9748281551503,-0.0164094496731672,-13.1034288284393,2,Skill level B
2242,64.4648446412397,86.875,35.0205383463007,91.304347826087,34.2476749837002,91.4847161572052,Electronic service technicians (household and business equipment),-0.0460971615720524,-30.2171696575395,-0.00180368331118283,-0.772863362600504,2,Skill level B
7232,64.6839273460127,86.4583333333333,36.0352260108194,91.0973084886128,35.8393301715689,91.2663755458515,Tool and die makers,-0.048080422125182,-28.8445971744438,-0.00169067057238692,-0.195895839250497,2,Skill level B
2251,46.2592273070448,90,51.1892927905615,89.648033126294,36.4143137302598,91.0480349344978,Architectural technologists and technicians,-0.0104803493449782,-9.844913576785,-0.0140000180820382,-14.7749790603017,2,Skill level B
5241,69.5485650202798,85.2083333333333,45.8347937412739,90.2691511387164,36.5304836823053,90.8296943231441,Graphic designers and illustrators,-0.0562136098981077,-33.0180813379745,-0.00560543184427748,-9.3043100589686,2,Skill level B
